معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
7680,Lomotine,atropine + loperamide,0.025mg + 2.5mg,قرص,شرق,atropine 0.025mg+loperamide 2.5mg / tab,tab,بيانات مكتملة
7681,Meclorix 150,moclobemide,150mg,قرص مغلف,شرق,moclobemide 150mg / c-tab,coated-tab,بيانات مكتملة
7682,Meclorix 300,moclobemide,300mg,قرص مغلف,شرق,moclobemide 300mg / c-tab,coated-tab,بيانات مكتملة
7683,Medazepam 10,medazepam,10mg,قرص,شرق,medazepam 10mg / tab,tab,بيانات مكتملة
7684,Migritan 10,rizatriptan,10mg,قرص,شرق,rizatriptan 10mg / tab,tab,بيانات مكتملة
7685,Migritan 5,rizatriptan,5mg,قرص,شرق,rizatriptan 5mg / tab,tab,بيانات مكتملة
7686,Nervotin 100,gabapentin,100mg,كبسولة,شرق,gabapentin 100mg / cap,cap,بيانات مكتملة
7687,Nervotin 300,gabapentin,300mg,كبسولة,شرق,gabapentin 300mg / cap,cap,بيانات مكتملة
7688,Nervotin 400,gabapentin,400mg,كبسولة,شرق,gabapentin 400mg / cap,cap,بيانات مكتملة
7689,Oragesic,ibuprofen + paracetamol,400mg + 325mg,قرص مغلف,شرق,ibuprofen 400mg+paracetamol 325mg / c-tab,coated-tab,بيانات مكتملة
7690,Ora Vit C 500,ascorbic Acid 500mg / chew-tab,,قرص للمضغ,شرق,ascorbic Acid 500mg / chew-tab,chew-tab,بيانات مكتملة
7691,Orientocin 750,metronidazole + spiramycin,125mg + 750000i.u.,قرص مغلف,شرق,metronidazole 125mg+spiramycin 750000i.u. / c-tab,coated-tab,بيانات مكتملة
7692,Orientyl 10,nortriptyline,10mg,كبسولة,شرق,nortriptyline 10mg / cap,cap,بيانات مكتملة
7693,Orientyl 25,nortriptyline,25mg,كبسولة,شرق,nortriptyline 25mg / cap,cap,بيانات مكتملة
7694,Orientyl 50,nortriptyline,50mg,كبسولة,شرق,nortriptyline 50mg / cap,cap,بيانات مكتملة
7695,Orifon 10,cyclobenzaprine,10mg,قرص مغلف,شرق,cyclobenzaprine 10mg / c-tab,coated-tab,بيانات مكتملة
7696,Orilip 10,ezetimibe,10mg,قرص,شرق,ezetimibe 10mg / tab,tab,بيانات مكتملة
7697,Orimat 100,topiramate,100mg,قرص مغلف,شرق,topiramate 100mg / c-tab,coated-tab,بيانات مكتملة
7698,Orimat 200,topiramate,200mg,قرص مغلف,شرق,topiramate 200mg / c-tab,coated-tab,بيانات مكتملة
7699,Orimat 25,topiramate,25mg,قرص مغلف,شرق,topiramate 25mg / c-tab,coated-tab,بيانات مكتملة
7700,Orimat 50,topiramate,50mg,قرص مغلف,شرق,topiramate 50mg / c-tab,coated-tab,بيانات مكتملة
7701,Paino Extra,caffeine + paracetamol,65mg + 500mg,قرص مغلف,شرق,caffeine 65mg+paracetamol 500mg / tab,coated-tab,بيانات مكتملة
7702,Paino Plus,caffeine + codeine + paracetamol,30mg + 8mg + 500mg,قرص مغلف,شرق,caffeine 30mg+codeine 8mg+paracetamol 500mg / tab,coated-tab,بيانات مكتملة
7703,Parkomet 100/10,carbidopa + levodopa,10mg + 100mg,قرص,شرق,carbidopa 10mg+levodopa 100mg / tab,tab,بيانات مكتملة
7704,Parkomet 250/25,carbidopa + levodopa,25mg + 250mg,قرص,شرق,carbidopa 25mg+levodopa 250mg / tab,tab,بيانات مكتملة
7705,Parkomet Plus,carbidopa + entacapone + levodopa,25mg + 200mg + 250mg,قرص مغلف,شرق,carbidopa 25mg+entacapone 200mg+levodopa 250mg / c-tab,coated-tab,بيانات مكتملة
7706,Pinaspasm 50,pinaverium,50mg,قرص مغلف,شرق,pinaverium 50mg / c-tab,coated-tab,بيانات مكتملة
7707,Piroxin 20,piroxicam,20mg,قرص,شرق,piroxicam 20mg / tab,tab,بيانات مكتملة
7708,Spasmidat 100,trimebutine,100mg,قرص مغلف,شرق,trimebutine 100mg / c-tab,coated-tab,بيانات مكتملة
7709,Spasmidat 200,trimebutine,200mg,قرص مغلف,شرق,trimebutine 200mg / c-tab,coated-tab,بيانات مكتملة
7710,Tadlis 10,tadalafil,10mg,قرص مغلف,شرق,tadalafil 10mg / c-tab,coated-tab,بيانات مكتملة
7711,Tadlis 20,tadalafil,20mg,قرص مغلف,شرق,tadalafil 20mg / c-tab,coated-tab,بيانات مكتملة
7712,Telmitan 40,telmisartan,40mg,قرص,شرق,telmisartan 40mg / tab,tab,بيانات مكتملة
7713,Telmitan 80,telmisartan,80mg,قرص,شرق,telmisartan 80mg / tab,tab,بيانات مكتملة
7714,Tramatard SR 100,tramadol 100mg / SR-tab,,SR-tab,شرق,tramadol 100mg / SR-tab,SR-tab,بيانات مكتملة
7715,Treton,di Hydralazine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + reserpine,10mg + 10mg + 0.1mg,قرص,شرق,di Hydralazine 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 10mg+reserpine 0.1mg / tab,tab,بيانات مكتملة
7716,Valpakine 200,sod.Valproate,200mg,قرص مغلف,شرق,sod.Valproate 200mg / c-tab,coated-tab,بيانات مكتملة
7717,Valpakine 500,valproic Acid,500mg,قرص مغلف,شرق,valproic Acid 500mg / c-tab,coated-tab,بيانات مكتملة
7718,Valpakine DR 250,valproic Acid,250mg,قرص مغلف,شرق,valproic Acid 250mg / c-tab,coated-tab,بيانات مكتملة
7719,Zoldorm 10,zolpidem,10mg,قرص مغلف,شرق,zolpidem 10mg / c-tab,coated-tab,بيانات مكتملة
7720,Zoldorm 5,zolpidem,5mg,قرص مغلف,شرق,zolpidem 5mg / c-tab,coated-tab,بيانات مكتملة
7721,Aciclorism 100,aceclofenac,100mg,قرص مغلف,شفا,aceclofenac 100mg / c-tab,coated-tab,بيانات مكتملة
7722,Actodron 5,risedronate Sodium,5mg,قرص مغلف,شفا,risedronate Sodium 5mg / c-tab,coated-tab,بيانات مكتملة
7723,Alotral 2.5,alfuzocin,2.5mg,قرص مغلف,شفا,alfuzocin 2.5mg / c-tab,coated-tab,بيانات مكتملة
7724,Alotral 5,alfuzocin,5mg,قرص مغلف,شفا,alfuzocin 5mg / c-tab,coated-tab,بيانات مكتملة
7725,Ambidim 10,zolpidem,10mg,قرص مغلف,شفا,zolpidem 10mg / c-tab,coated-tab,بيانات مكتملة
7726,Ambidim 5,zolpidem,5mg,قرص مغلف,شفا,zolpidem 5mg / c-tab,coated-tab,بيانات مكتملة
7727,Amika 100,amikacin,100mg,أمبولة,شفا,amikacin 100mg / amp,amp,بيانات مكتملة
7728,Amika 500,amikacin,500mg,أمبولة,شفا,amikacin 500mg / amp,amp,بيانات مكتملة
7729,Amiloxa 1000,ampicillin + cloxacillin,500mg + 500mg,فيال جاف,شفا,ampicillin 500mg+cloxacillin 500mg / vial,dry-vial,بيانات مكتملة
7730,Amiloxa 500,ampicillin + cloxacillin,250mg + 250mg,فيال جاف,شفا,ampicillin 250mg+cloxacillin 250mg / vial,dry-vial,بيانات مكتملة
7731,Amoxicillin 1000,amoxicillin,1000mg,فيال جاف,شفا,amoxicillin 1000mg / vial,dry-vial,بيانات مكتملة
7732,Ampicillin Plus 1500,ampicillin + sulbactam,1000mg + 500mg,فيال جاف,شفا,ampicillin 1000mg+sulbactam 500mg / vial,dry-vial,بيانات مكتملة
7733,Ampicillin Plus 750,ampicillin + sulbactam,500mg + 250mg,فيال جاف,شفا,ampicillin 500mg+sulbactam 250mg / vial,dry-vial,بيانات مكتملة
7734,Aqua,distilled water for solving dry-syrups / 1bag,,أمبولة,شفا,distilled water for solving dry-syrups / 1bag,amp,بيانات مكتملة
7735,Atrium 25,atracurium,25mg,أمبولة,شفا,atracurium 25mg / amp,amp,بيانات مكتملة
7736,Atrium 50,atracurium,50mg,أمبولة,شفا,atracurium 50mg / amp,amp,بيانات مكتملة
7737,Azitro 100,azithromycin,100mg,dry-syrup,شفا,azithromycin 100mg / 5ml,dry-syrup,بيانات مكتملة
7738,Azitro 125,azithromycin,125mg,قرص,شفا,azithromycin 125mg / tab,tab,بيانات مكتملة
7739,Azitro 200,azithromycin,200mg,dry-syrup,شفا,azithromycin 200mg / 5ml,dry-syrup,بيانات مكتملة
7740,Azitro 250,azithromycin,250mg,كبسولة,شفا,azithromycin 250mg / cap,cap,بيانات مكتملة
7741,Azitro 500,azithromycin,500mg,قرص,شفا,azithromycin 500mg / tab,tab,بيانات مكتملة
7742,Becovit,biotin + thiamine + vit B2 + vit B12 + vit PP,0.5mg + 10mg + 4mg + 0.008mg + 40mg,أمبولة,شفا,biotin 0.5mg+thiamine 10mg+vit B2 4mg+vit B12 0.008mg+vit PP 40mg / amp,amp,بيانات مكتملة
7743,Betazone 4,betamethasone,4mg,أمبولة,شفا,betamethasone 4mg / amp,amp,بيانات مكتملة
7744,Bincozan 3,dibencozide,3mg,كبسولة,شفا,dibencozide 3mg / cap,cap,بيانات مكتملة
7745,Bioxime 100,cefixime,100mg,dry-syrup,شفا,cefixime 100mg / 5ml,dry-syrup,بيانات مكتملة
7746,Bioxime 200,cefixime,200mg,قرص مغلف,شفا,cefixime 200mg / c-tab,coated-tab,بيانات مكتملة
7747,Bioxime 400,cefixime,400mg,قرص مغلف,شفا,cefixime 400mg / c-tab,coated-tab,بيانات مكتملة
7748,Bisalax,bisacodyl,10mg,قرص مغلف,شفا,bisacodyl 10mg / c-tab,coated-tab,بيانات مكتملة
7749,Bisalax 10,bisacodyl,10mg,قرص مغلف,شفا,bisacodyl 10mg / c-tab,coated-tab,بيانات مكتملة
7750,Bramine 10,imipramine,10mg,قرص,شفا,imipramine 10mg / tab,tab,بيانات مكتملة
7751,Bramine 25,imipramine,25mg,قرص,شفا,imipramine 25mg / tab,tab,بيانات مكتملة
7752,Bromodel 10,bromocriptine,10mg,كبسولة,شفا,bromocriptine 10mg / cap,cap,بيانات مكتملة
7753,Bromodel 2.5,bromocriptine,2.5mg,قرص,شفا,bromocriptine 2.5mg / tab,tab,بيانات مكتملة
7754,Bromodel 5,bromocriptine,5mg,كبسولة,شفا,bromocriptine 5mg / cap,cap,بيانات مكتملة
7755,Buscolin 20,hyoscine,20mg,أمبولة,شفا,hyoscine 20mg / amp,amp,بيانات مكتملة
7756,Cal C 500,calcium Carbonate + ascorbic Acid 500mg / eff-tab,500mg + ,قرص فوار,شفا,calcium Carbonate 500mg+ascorbic Acid 500mg / eff-tab,eff-tab,بيانات مكتملة
7757,Carbo Natura,charcoal + foenicul + pepper + rhubarb + senna,180mg + 0.5mg + 0.5mg + 25mg + 105mg,قرص,شفا,charcoal 180mg+foenicul 0.5mg+pepper 0.5mg+rhubarb 25mg+senna 105mg / tab,tab,بيانات مكتملة
7758,Cefaclor 125,cefaclor,125mg,dry-syrup,شفا,cefaclor 125mg / 5ml,dry-syrup,بيانات مكتملة
7759,Cefaclor 250,cefaclor,250mg,كبسولة,شفا,cefaclor 250mg / cap,cap,بيانات مكتملة
7760,Cefocef 1000,cefadroxil,1000mg,قرص مغلف,شفا,cefadroxil 1000mg / c-tab,coated-tab,بيانات مكتملة
7761,Cefocef 250,cefadroxil,250mg,كبسولة,شفا,cefadroxil 250mg / cap,cap,بيانات مكتملة
7762,Cefocef 500,cefadroxil,500mg,كبسولة,شفا,cefadroxil 500mg / cap,cap,بيانات مكتملة
7763,Cefomax 1000,cefepime 1000mg / dry-vial,,فيال جاف,شفا,cefepime 1000mg / dry-vial,dry-vial,بيانات مكتملة
7764,Cefomax 2000,cefepime 2000mg / dry-vial,,فيال جاف,شفا,cefepime 2000mg / dry-vial,dry-vial,بيانات مكتملة
7765,Cefomax 500,cefepime 500mg / dry-vial,,فيال جاف,شفا,cefepime 500mg / dry-vial,dry-vial,بيانات مكتملة
7766,Cimetidine 200,cimetidine,200mg,أمبولة,شفا,cimetidine 200mg / amp,amp,بيانات مكتملة
7767,Clafo 1000,cefotaxime 1000mg / dry-vial,,فيال جاف,شفا,cefotaxime 1000mg / dry-vial,dry-vial,بيانات مكتملة
7768,Clafo 2000,cefotaxime 2000mg / dry-vial,,فيال جاف,شفا,cefotaxime 2000mg / dry-vial,dry-vial,بيانات مكتملة
7769,Clafo 500,cefotaxime 500mg / dry-vial,,فيال جاف,شفا,cefotaxime 500mg / dry-vial,dry-vial,بيانات مكتملة
7770,Clomifen 50,clomiphene,50mg,قرص,شفا,clomiphene 50mg / tab,tab,بيانات مكتملة
7771,Clopramid 10,metoclopramide,10mg,أمبولة,شفا,metoclopramide 10mg / amp,amp,بيانات مكتملة
7772,Cloxa 1000,cloxacillin,1000mg,فيال جاف,شفا,cloxacillin 1000mg / vial,dry-vial,بيانات مكتملة
7773,Cloxa 500,cloxacillin,500mg,فيال جاف,شفا,cloxacillin 500mg / vial,dry-vial,بيانات مكتملة
7774,Colitic 40,drotaverine,40mg,أمبولة,شفا,drotaverine 40mg / amp,amp,بيانات مكتملة
7775,Cotagesic,acetyl Salicylic Acid + propoxyphene,400mg + 30mg,قرص مغلف,شفا,acetyl Salicylic Acid 400mg+propoxyphene 30mg / c-tab,coated-tab,بيانات مكتملة
7776,Cotagizec Ctd,acetyl Salicylic Acid + propoxyphene,400mg + 30mg,قرص مغلف,شفا,acetyl Salicylic Acid 400mg+propoxyphene 30mg / c-tab,coated-tab,بيانات مكتملة
7777,Cotasperin 162,acetyl Salicylic Acid,162mg,قرص مغلف,شفا,acetyl Salicylic Acid 162mg / c-tab,coated-tab,بيانات مكتملة
7778,Cotasperin 81,acetyl Salicylic Acid,81mg,قرص مغلف,شفا,acetyl Salicylic Acid 81mg / c-tab,coated-tab,بيانات مكتملة
7779,Cotaspirin 400,acetyl Salicylic Acid,400mg,قرص مغلف,شفا,acetyl Salicylic Acid 400mg / c-tab,coated-tab,بيانات مكتملة
7780,Cutison 0.005%,fluticasone Propionate,0.005%,مرهم,شفا,fluticasone Propionate 0.005%,oint,بيانات مكتملة
7781,Cutison 0.05%,fluticasone Propionate,0.05%,كريم,شفا,fluticasone Propionate 0.05%,cream,بيانات مكتملة
7782,Deptival,fluphenazine + nortriptyline,0.5mg + 10mg,قرص مغلف,شفا,fluphenazine 0.5mg+nortriptyline 10mg / c-tab,coated-tab,بيانات مكتملة
7783,Dequalin 0.25,dequalinium 0.250mg / loz,,مصاصة,شفا,dequalinium 0.250mg / loz,loz,بيانات مكتملة
7784,Dexa 0.5,dexamethasone,0.5mg,شراب,شفا,dexamethasone 0.5mg / 5ml,syrup,بيانات مكتملة
7785,Dexa 8,dexamethasone,8mg,أمبولة,شفا,dexamethasone 8mg / amp,amp,بيانات مكتملة
7786,Dexanystal,chlorhexidine + dexamethasone + nystatin 100000i.u. / gr,1mg + 1mg + ,كريم,شفا,chlorhexidine 1mg+dexamethasone 1mg+nystatin 100000i.u. / gr,cream,بيانات مكتملة
7787,Dextromethazin,dextromethorphan + promethazine,15mg + 6.25mg,شراب,شفا,dextromethorphan 15mg+promethazine 6.25mg / 5ml,syrup,بيانات مكتملة
7788,Diclorism 1%,diclofenac Sodium,1%,كريم,شفا,diclofenac Sodium 1%,cream,بيانات مكتملة
7789,Diclorism 100,diclofenac Sodium,100mg,تحاميل,شفا,diclofenac Sodium 100mg / supp,supp,بيانات مكتملة
7790,Diclorism 25,diclofenac Sodium,25mg,قرص مغلف,شفا,diclofenac Sodium 25mg / c-tab,coated-tab,بيانات مكتملة
7791,Diclorism 50,diclofenac Sodium,50mg,قرص مغلف,شفا,diclofenac Sodium 50mg / c-tab,coated-tab,بيانات مكتملة
7792,Diclorism 75,diclofenac Sodium,75mg,أمبولة,شفا,diclofenac Sodium 75mg / amp,amp,بيانات مكتملة
7793,Digoxin Shifa 0.25,digoxin,0.250mg,قرص,شفا,digoxin 0.250mg / tab,tab,بيانات مكتملة
7794,Dinacef 125,cefdinir,125mg,dry-syrup,شفا,cefdinir 125mg / 5ml,dry-syrup,بيانات مكتملة
7795,Dinacef 300,cefdinir,300mg,كبسولة,شفا,cefdinir 300mg / cap,cap,بيانات مكتملة
7796,Dolodol 100,tramadol,100mg,أمبولة,شفا,tramadol 100mg / amp,amp,بيانات مكتملة
7797,Edrazide 250,acetazolamide,250mg,قرص,شفا,acetazolamide 250mg / tab,tab,بيانات مكتملة
7798,Elmosan 100,pentosan,100mg,كبسولة,شفا,pentosan 100mg / cap,cap,بيانات مكتملة
7799,Fenicol 1000,chloramphenicol,1000mg,فيال جاف,شفا,chloramphenicol 1000mg / vial,dry-vial,بيانات مكتملة
7800,Ferrum Fol Hausmann,iron ( ferric hydroxide polymaltose ) + folic Acid 0.35mg / chew-tab,100mg + ,قرص للمضغ,شفا,iron ( ferric hydroxide polymaltose ) 100mg+folic Acid 0.35mg / chew-tab,chew-tab,بيانات مكتملة
7801,Ferrum Hausmann 100,iron ( ferric hydroxide polymaltose ) 100mg / chew-tab,,قرص للمضغ,شفا,iron ( ferric hydroxide polymaltose ) 100mg / chew-tab,chew-tab,بيانات مكتملة
7802,Ferrum Hausmann 50,iron ( ferric hydroxide polymaltose ) 50mg / ml,,قطرات فموية,شفا,iron ( ferric hydroxide polymaltose ) 50mg / ml,oral-drops,بيانات مكتملة
7803,Flucloxa 1000,flucloxacillin,1000mg,فيال جاف,شفا,flucloxacillin 1000mg / vial,dry-vial,بيانات مكتملة
7804,Flucloxa 250,flucloxacillin,250mg,كبسولة,شفا,flucloxacillin 250mg / cap,cap,بيانات مكتملة
7805,Flucloxa 500,flucloxacillin,500mg,كبسولة,شفا,flucloxacillin 500mg / cap,cap,بيانات مكتملة
7806,Flunargic 5,flunarizine,5mg,كبسولة,شفا,flunarizine 5mg / cap,cap,بيانات مكتملة
7807,Framycetin 2%,framycetin,2%,مرهم,شفا,framycetin 2%,oint,بيانات مكتملة
7808,Franil 10,clomipramine,10mg,كبسولة,شفا,clomipramine 10mg / cap,cap,بيانات مكتملة
7809,Franil 25,clomipramine,25mg,كبسولة,شفا,clomipramine 25mg / cap,cap,بيانات مكتملة
7810,Fusid H,hydrocortisone + Sodium Fusidate,1% + 2%,كريم,شفا,hydrocortisone 1%+Sodium Fusidate 2%,cream,بيانات مكتملة
7811,Gensen Plus,ginseng + vit E,100mg + 20mg,كبسولة,شفا,ginseng 100mg+vit E 20mg / cap,cap,بيانات مكتملة
7812,Genta 20,gentamicin,20mg,أمبولة,شفا,gentamicin 20mg / amp,amp,بيانات مكتملة
7813,Genta 40,gentamicin,40mg,أمبولة,شفا,gentamicin 40mg / amp,amp,بيانات مكتملة
7814,Genta 80,gentamicin,80mg,أمبولة,شفا,gentamicin 80mg / amp,amp,بيانات مكتملة
7815,Genta B,betamethasone + gentamicin 1mg / gr,0.5mg + ,مرهم,شفا,betamethasone 0.5mg+gentamicin 1mg / gr,oint,بيانات مكتملة
7816,Gluco 500,metformin,500mg,قرص,شفا,metformin 500mg / tab,tab,بيانات مكتملة
7817,Gluco 850,metformin,850mg,قرص مغلف,شفا,metformin 850mg / c-tab,coated-tab,بيانات مكتملة
7818,Guariume 5,guarin 5000mg / sachet,,ظرف,شفا,guarin 5000mg / sachet,sachet,بيانات مكتملة
7819,Hypopril 10,lisinopril,10mg,قرص,شفا,lisinopril 10mg / tab,tab,بيانات مكتملة
7820,Hypopril 20,lisinopril,20mg,قرص,شفا,lisinopril 20mg / tab,tab,بيانات مكتملة
7821,Hypopril 5,lisinopril,5mg,قرص,شفا,lisinopril 5mg / tab,tab,بيانات مكتملة
7822,Hypopril Plus 22.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + lisinopril,12.5mg + 10mg,قرص,شفا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+lisinopril 10mg / tab,tab,بيانات مكتملة
7823,Hypopril Plus 32.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + lisinopril,12.5mg + 20mg,قرص,شفا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+lisinopril 20mg / tab,tab,بيانات مكتملة
7824,Hypopril Plus 45,H.C.T.Z. ( Hydro Chlor Thia Zide ) + lisinopril,25mg + 20mg,قرص,شفا,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+lisinopril 20mg / tab,tab,بيانات مكتملة
7825,Ibuprof 100,ibuprofen 100mg / chew-tab,,قرص للمضغ,شفا,ibuprofen 100mg / chew-tab,chew-tab,بيانات مكتملة
7826,Ibuprof 200,ibuprofen,200mg,قرص مغلف,شفا,ibuprofen 200mg / c-tab,coated-tab,بيانات مكتملة
7827,Ibuprof 40,ibuprofen 40mg / ml,,قطرات فموية,شفا,ibuprofen 40mg / ml,oral-drops,بيانات مكتملة
7828,Ibuprof 400,ibuprofen,400mg,أمبولة,شفا,ibuprofen 400mg / amp,amp,بيانات مكتملة
7829,Ibuprof 5%,ibuprofen,5%,كريم,شفا,ibuprofen 5%,cream,بيانات مكتملة
7830,Ibuprof 50,ibuprofen 50mg / chew-tab,,قرص للمضغ,شفا,ibuprofen 50mg / chew-tab,chew-tab,بيانات مكتملة
7831,Ibuprof 500,ibuprofen,500mg,تحاميل,شفا,ibuprofen 500mg / supp,supp,بيانات مكتملة
7832,Ibuprof 600,ibuprofen,600mg,قرص مغلف,شفا,ibuprofen 600mg / c-tab,coated-tab,بيانات مكتملة
7833,Ibuprof 800,ibuprofen,800mg,قرص مغلف,شفا,ibuprofen 800mg / c-tab,coated-tab,بيانات مكتملة
7834,Irba 150,irbesartan,150mg,قرص,شفا,irbesartan 150mg / tab,tab,بيانات مكتملة
7835,Irba 300,irbesartan,300mg,قرص,شفا,irbesartan 300mg / tab,tab,بيانات مكتملة
7836,Irba 75,irbesartan,75mg,قرص,شفا,irbesartan 75mg / tab,tab,بيانات مكتملة
7837,Jectaspirin 1000,lysine Acetylsalicylate,1800mg,فيال جاف,شفا,lysine Acetylsalicylate 1800mg / vial,dry-vial,بيانات مكتملة
7838,Jectaspirin 500,lysine Acetylsalicylate,900mg,فيال جاف,شفا,lysine Acetylsalicylate 900mg / vial,dry-vial,بيانات مكتملة
7839,Ketokonazol 100,ketoconazole,100mg,شراب,شفا,ketoconazole 100mg / 5ml,syrup,بيانات مكتملة
7840,Ketoprofen 100,ketoprofen,100mg,أمبولة,شفا,ketoprofen 100mg / amp,amp,بيانات مكتملة
7841,Khellin 25,khellin,25mg,قرص مغلف,شفا,khellin 25mg / c-tab,coated-tab,بيانات مكتملة
7842,Kincort 40,triam Cinolone,40mg,أمبولة,شفا,triam Cinolone 40mg / amp,amp,بيانات مكتملة
7843,Lansoprazole 15,lansoprazole,15mg,كبسولة,شفا,lansoprazole 15mg / cap,cap,بيانات مكتملة
7844,Lansoprazole 30,lansoprazole,30mg,كبسولة,شفا,lansoprazole 30mg / cap,cap,بيانات مكتملة
7845,Larfine 10,chlorpheniramine,10mg,أمبولة,شفا,chlorpheniramine 10mg / amp,amp,بيانات مكتملة
7846,Lasemid 20,furosemide,20mg,أمبولة,شفا,furosemide 20mg / amp,amp,بيانات مكتملة
7847,Lido 1%,lidocaine,1%,أمبولة,شفا,lidocaine 1%,amp,بيانات مكتملة
7848,Lido 2%,lidocaine,2%,أمبولة,شفا,lidocaine 2%,amp,بيانات مكتملة
7849,Linco 250,lincomycin,250mg,شراب,شفا,lincomycin 250mg / 5ml,syrup,بيانات مكتملة
7850,Linco 300,lincomycin,300mg,أمبولة,شفا,lincomycin 300mg / amp,amp,بيانات مكتملة
7851,Linco 500,lincomycin,500mg,كبسولة,شفا,lincomycin 500mg / cap,cap,بيانات مكتملة
7852,Linco 600,lincomycin,600mg,أمبولة,شفا,lincomycin 600mg / amp,amp,بيانات مكتملة
7853,Lora 10,loratadine,10mg,قرص,شفا,loratadine 10mg / tab,tab,بيانات مكتملة
7854,Lora 5,loratadine,5mg,شراب,شفا,loratadine 5mg / 5ml,syrup,بيانات مكتملة
7855,Magriban 12.5,almotriptan 12.5mg / chew-tab,,قرص للمضغ,شفا,almotriptan 12.5mg / chew-tab,chew-tab,بيانات مكتملة
7856,Maxaram 100,topiramate,100mg,قرص مغلف,شفا,topiramate 100mg / c-tab,coated-tab,بيانات مكتملة
7857,Maxaram 200,topiramate,200mg,قرص مغلف,شفا,topiramate 200mg / c-tab,coated-tab,بيانات مكتملة
7858,Maxaram 25,topiramate,25mg,قرص مغلف,شفا,topiramate 25mg / c-tab,coated-tab,بيانات مكتملة
7859,Mebendazol 100,mebendazole,100mg,قرص,شفا,mebendazole 100mg / tab,tab,بيانات مكتملة
7860,Mebendazol 500,mebendazole,500mg,قرص,شفا,mebendazole 500mg / tab,tab,بيانات مكتملة
7861,Minavite,calcium + ferrous + magnesium + thiamine + vit B2 + vit B6 + ascorbic Acid + vit PP,20mg +  +  + 20mg + 10mg + 5mg + 75mg + 40mg,كبسولة,شفا,calcium 20mg+ferrous+magnesium+thiamine 20mg+vit B2 10mg+vit B6 5mg+ascorbic Acid 75mg+vit PP 40mg / cap,cap,بيانات مكتملة
7862,Minavit M,calcium + iron + magnesium + thiamine + vit B2 + vit B6 + ascorbic Acid + vit PP,20mg +  +  + 20mg + 10mg + 5mg + 75mg + 40mg,كبسولة,شفا,calcium 20mg+iron+magnesium+thiamine 20mg+vit B2 10mg+vit B6 5mg+ascorbic Acid 75mg+vit PP 40mg / cap,cap,بيانات مكتملة
7863,Miodarone 200,amiodarone,200mg,قرص,شفا,amiodarone 200mg / tab,tab,بيانات مكتملة
7864,Mucolys 200,methyl Di Acetyl Cysteinate 200mg / sachet,,ظرف,شفا,methyl Di Acetyl Cysteinate 200mg / sachet,sachet,بيانات مكتملة
7865,Naproxene 250,naproxen,250mg,قرص,شفا,naproxen 250mg / tab,tab,بيانات مكتملة
7866,Naproxene 500,naproxen,500mg,قرص,شفا,naproxen 500mg / tab,tab,بيانات مكتملة
7867,Nestagmin 0.5,neostigmine 0.5mg / ml,,أمبولة,شفا,neostigmine 0.5mg / ml,amp,بيانات مكتملة
7868,Newlora 10,desloratadine,10mg,قرص مغلف,شفا,desloratadine 10mg / c-tab,coated-tab,بيانات مكتملة
7869,Newlora 5,desloratadine,5mg,قرص مغلف,شفا,desloratadine 5mg / c-tab,coated-tab,بيانات مكتملة
7870,Newtussil,bromhexine + chlorpheniramine + guaifenesin,4mg + 2mg + 50mg,شراب,شفا,bromhexine 4mg+chlorpheniramine 2mg+guaifenesin 50mg / 5ml,syrup,بيانات مكتملة
7871,No Acne 10,tretinoin,0.01%,جل,شفا,tretinoin 0.01%,gel,بيانات مكتملة
7872,No Acne 25,tretinoin,0.025%,cre Am,شفا,tretinoin 0.025%,cre Am,بيانات مكتملة
7873,No Acne 50,tretinoin,0.05%,cre Am,شفا,tretinoin 0.05%,cre Am,بيانات مكتملة
7874,Nobrin 10,medazepam,10mg,قرص,شفا,medazepam 10mg / tab,tab,بيانات مكتملة
7875,Nobrin 5,medazepam,5mg,قرص,شفا,medazepam 5mg / tab,tab,بيانات مكتملة
7876,Nostres 10,fluoxetine,10mg,قرص مغلف,شفا,fluoxetine 10mg / c-tab,coated-tab,بيانات مكتملة
7877,Ogmant 1000,amoxicillin + clavulanic Acid,875mg + 125mg,قرص مغلف,شفا,amoxicillin 875mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
7878,Ogmant 1200,amoxicillin + clavulanic Acid,1000mg + 200mg,فيال جاف,شفا,amoxicillin 1000mg+clavulanic Acid 200mg / vial,dry-vial,بيانات مكتملة
7879,Ogmant 156,amoxicillin + clavulanic Acid,125mg + 31.25mg,dry-syrup,شفا,amoxicillin 125mg+clavulanic Acid 31.25mg / 5ml,dry-syrup,بيانات مكتملة
7880,Ogmant 312,amoxicillin + clavulanic Acid,250mg + 62.5mg,dry-syrup,شفا,amoxicillin 250mg+clavulanic Acid 62.5mg / 5ml,dry-syrup,بيانات مكتملة
